,start_station_id,start_lat,start_lng,borough,zip
0,7756.10,40.811388254,-73.95199453800001,Manhattan,10027
1,4458.06,40.688444972,-73.93319451800001,Brooklyn,11221
2,5164.05,40.71036129922581,-73.96530389785768,Brooklyn,11249
3,7382.04,40.78499979,-73.97283406,Manhattan,10024
4,5159.04,40.71173107,-73.99193043,Manhattan,10002
5,4010.13,40.675020700000005,-73.97111473,Brooklyn,11238
6,6331.01,40.749156,-73.9916,Manhattan,10001
7,4939.07,40.702013,-73.923769,Brooklyn,11237
8,6115.09,40.742753828659026,-74.00747358798982,Manhattan,10014
10,6860.12,40.76471851944339,-73.96222069859505,Manhattan,10065
11,8092.06,40.832213044,-73.919052601,The Bronx,10456
12,7432.04,40.790080309000004,-73.972931027,Manhattan,10024
13,5826.02,40.73232194,-73.9550858,Brooklyn,11222
15,7149.05,40.77444756,-73.984814405,Manhattan,10023
16,6345.08,40.748046875,-73.973861933,Manhattan,10016
17,4895.03,40.702461,-73.98684200000001,Brooklyn,11201
19,5847.06,40.73342399437081,-74.00851495563984,Manhattan,10014
20,5442.05,40.71915571696044,-73.94885390996933,Brooklyn,11222
21,8707.01,40.871559999999995,-73.89714000000001,The Bronx,10468
22,6953.08,40.768994927,-73.954663277,Manhattan,10021
23,7121.02,40.77391390238118,-73.9543953537941,Manhattan,10075
26,7235.13,40.778301,-73.9488134,Manhattan,10128
28,6464.08,40.75255434,-73.97282625,Manhattan,10017
34,7670.09,40.804372,-73.951475,Manhattan,10026
36,6599.01,40.757284000000006,-73.9536,Manhattan,10044
41,7809.13,40.81449,-73.936153,Manhattan,10030
46,7901.04,40.820036,-73.92141099999999,The Bronx,10451
50,8416.07,40.852538,-73.93441,Manhattan,10033
52,8241.07,40.842161894,-73.898547053,The Bronx,10457
61,4903.09,40.702709000000006,-73.99253,Brooklyn,11201
69,7937.15,40.821294,-73.947868,Manhattan,10031
71,4157.10,40.6794388,-73.96804379999999,Brooklyn,11213
72,5010.02,40.705614000000004,-73.92153,Brooklyn,11237
73,6474.12,40.752631903,-73.980020165,Manhattan,10017
74,7788.13,40.811902404,-73.904241085,The Bronx,10458
84,4217.02,40.6802133,-73.98432695,Brooklyn,11217
85,6122.09,40.741723510974715,-73.97809267044067,Manhattan,10016
86,6030.06,40.739415884,-73.999332666,Manhattan,10011
87,5230.02,40.71332151208186,-73.99009689688683,Manhattan,10002
88,7713.11,40.808383942,-73.964562535,Manhattan,10027
90,4395.07,40.685107230999996,-73.977637053,Brooklyn,11217
92,6656.05,40.7576314,-73.9391224,Queens,11101
94,6089.07,40.74025878,-73.98409214,Manhattan,10037
95,7879.01,40.816827,-73.917338,The Bronx,10451
96,6495.17,40.75186951421875,-73.93349289894103,Queens,11101
98,7059.08,40.77237,-73.99005,Manhattan,10069
99,6726.01,40.76030096,-73.99884222,Manhattan,10018
100,4623.02,40.693000000000005,-73.90824,Brooklyn,11237
101,4452.01,40.68900443,-73.96023854,Brooklyn,11221
102,4759.02,40.69757,-73.93098,Brooklyn,11221
106,4596.05,40.69221589,-73.9842844,Brooklyn,11201
108,4151.01,40.678724200000005,-73.99599099,Brooklyn,11231
110,5190.09,40.711471394469264,-73.98672603070736,Manhattan,10002
119,5746.02,40.72970805644994,-73.98659795522691,Manhattan,10003
121,7991.01,40.824796,-73.90241999999999,The Bronx,10456
122,5561.04,40.72317958,-73.99480012,Manhattan,10012
125,6248.06,40.7451677,-73.98683077,Manhattan,10035
128,7800.03,40.813358,-73.956461,Manhattan,10115
129,5414.06,40.72019576,-73.98997825,Manhattan,10002
133,6782.01,40.76115787,-73.91699171100001,Queens,11103
134,6536.02,40.754176,-73.900318,Queens,11377
136,6233.05,40.74334935,-74.00681753,Manhattan,10011
137,6560.15,40.7529728216068,-73.98734897375105,Manhattan,10018
