,start_station_id,start_lat,start_lng,borough,zip
0,7756.10,40.811388254,-73.95199453800001,Manhattan,10027
3,7382.04,40.78499979,-73.97283406,Manhattan,10024
4,5159.04,40.71173107,-73.99193043,Manhattan,10002
6,6331.01,40.749156,-73.9916,Manhattan,10001
8,6115.09,40.742753828659026,-74.00747358798982,Manhattan,10014
10,6860.12,40.76471851944339,-73.96222069859505,Manhattan,10065
12,7432.04,40.790080309000004,-73.972931027,Manhattan,10024
15,7149.05,40.77444756,-73.984814405,Manhattan,10023
16,6345.08,40.748046875,-73.973861933,Manhattan,10016
19,5847.06,40.73342399437081,-74.00851495563984,Manhattan,10014
22,6953.08,40.768994927,-73.954663277,Manhattan,10021
23,7121.02,40.77391390238118,-73.9543953537941,Manhattan,10075
26,7235.13,40.778301,-73.9488134,Manhattan,10128
28,6464.08,40.75255434,-73.97282625,Manhattan,10017
34,7670.09,40.804372,-73.951475,Manhattan,10026
36,6599.01,40.757284000000006,-73.9536,Manhattan,10044
41,7809.13,40.81449,-73.936153,Manhattan,10030
50,8416.07,40.852538,-73.93441,Manhattan,10033
69,7937.15,40.821294,-73.947868,Manhattan,10031
73,6474.12,40.752631903,-73.980020165,Manhattan,10017
85,6122.09,40.741723510974715,-73.97809267044067,Manhattan,10016
86,6030.06,40.739415884,-73.999332666,Manhattan,10011
87,5230.02,40.71332151208186,-73.99009689688683,Manhattan,10002
88,7713.11,40.808383942,-73.964562535,Manhattan,10027
94,6089.07,40.74025878,-73.98409214,Manhattan,10037
98,7059.08,40.77237,-73.99005,Manhattan,10069
99,6726.01,40.76030096,-73.99884222,Manhattan,10018
110,5190.09,40.711471394469264,-73.98672603070736,Manhattan,10002
119,5746.02,40.72970805644994,-73.98659795522691,Manhattan,10003
122,5561.04,40.72317958,-73.99480012,Manhattan,10012
125,6248.06,40.7451677,-73.98683077,Manhattan,10035
128,7800.03,40.813358,-73.956461,Manhattan,10115
129,5414.06,40.72019576,-73.98997825,Manhattan,10002
136,6233.05,40.74334935,-74.00681753,Manhattan,10011
137,6560.15,40.7529728216068,-73.98734897375105,Manhattan,10018
138,6247.06,40.746646999999996,-73.993915,Manhattan,10001
139,6173.08,40.74286877312112,-73.98918628692627,Manhattan,10019
140,6157.04,40.74198159994023,-74.00831580162048,Manhattan,10019
142,5721.14,40.72917025,-73.99810231,Manhattan,10012
143,5303.06,40.715633392,-73.98710024399999,Manhattan,10002
150,4889.06,40.701907,-74.013942,Manhattan,10004
161,5820.08,40.731539374640725,-73.9853024482727,Manhattan,10035
170,6890.06,40.76473420006519,-73.99194359779358,Manhattan,10019
172,6131.13,40.742751796489955,-73.98471571505071,Manhattan,10010
175,7619.05,40.7997568,-73.9621128676,Manhattan,10025
176,5687.04,40.72710258,-74.00297088,Manhattan,10012
177,5184.08,40.711444,-74.014847,Manhattan,10281
178,7116.04,40.77492513,-73.98266566,Manhattan,10023
181,7579.01,40.7974772,-73.9311847,Manhattan,10035
186,7716.19,40.806414000000004,-73.93608499999999,Manhattan,10035
187,5294.04,40.71424520000001,-73.981074929,Manhattan,10002
188,6206.08,40.74444921,-73.98303529,Manhattan,10016
189,6498.10,40.75323098,-73.97032517,Manhattan,10017
190,7842.16,40.816345096,-73.954306245,Manhattan,10027
191,6575.03,40.755293,-73.967641,Manhattan,10022
192,7204.08,40.777929544,-73.94598662899999,Manhattan,10128
193,6691.11,40.759178995999996,-73.96718490100001,Manhattan,10022
194,7611.02,40.799139000000004,-73.9389152,Manhattan,10035
196,7344.05,40.7835016,-73.955327,Manhattan,10128
198,6022.04,40.73726186,-73.99238967,Manhattan,10003
199,5755.09,40.73049393,-73.99572140000001,Manhattan,10012
202,5279.03,40.71494807,-74.00234482,Manhattan,10013
205,7393.09,40.787801,-73.953559,Manhattan,10129
206,5788.16,40.73127,-73.98849,Manhattan,10009
210,6322.01,40.74765947,-73.98490707,Manhattan,10016
211,6266.06,40.745262146,-74.002253056,Manhattan,10011
224,5575.08,40.72580614,-73.97422494,Manhattan,10009
226,7814.01,40.813539,-73.94521,Manhattan,10027
233,5326.06,40.71782143,-73.97628939,Manhattan,10002
236,6046.02,40.73912601,-73.97973776,Manhattan,10010
237,5838.09,40.73224119,-74.00026394,Manhattan,10011
241,5553.03,40.72467721,-73.98783413,Manhattan,10009
242,6912.01,40.7667405590595,-73.9790689945221,Manhattan,10019
243,5626.06,40.724532723,-73.983899713,Manhattan,10009
244,5905.12,40.73454567,-73.99074142,Manhattan,10003
