,station_id,ct_lanes_within_pt5m,ct_lanes_within_pt25m,ct_lanes_within_pt1m
0,7756.10,149,30,7
1,7382.04,172,33,5
2,5159.04,346,164,60
3,6331.01,138,39,3
4,6115.09,127,53,9
5,6860.12,127,34,4
6,7432.04,170,86,26
7,7149.05,116,36,9
8,6345.08,117,54,20
9,5847.06,193,76,22
10,6953.08,118,36,4
11,7121.02,88,29,4
12,7235.13,105,40,5
13,6464.08,134,15,0
14,7670.09,205,70,28
15,6599.01,104,41,24
16,7809.13,163,75,21
17,8416.07,179,19,0
18,7937.15,120,17,3
19,6474.12,118,29,5
20,6122.09,144,44,15
21,6030.06,227,65,12
22,5230.02,424,170,22
23,7713.11,52,9,0
24,6089.07,176,39,2
25,7059.08,96,28,0
26,6726.01,87,43,9
27,5190.09,357,81,13
28,5746.02,268,59,13
29,5561.04,303,88,14
30,6248.06,126,45,7
31,7800.03,98,34,13
32,5414.06,392,142,26
33,6233.05,148,51,8
34,6560.15,143,37,18
35,6247.06,164,40,10
36,6173.08,153,44,12
37,6157.04,125,52,6
38,5721.14,255,59,16
39,5303.06,480,110,17
40,4889.06,125,59,27
41,5820.08,210,60,10
42,6890.06,128,30,3
43,6131.13,141,33,7
44,7619.05,217,60,7
45,5687.04,248,61,7
46,5184.08,193,52,9
47,7116.04,128,35,6
48,7579.01,261,74,20
49,7716.19,170,36,12
50,5294.04,314,164,33
51,6206.08,153,23,10
52,6498.10,120,37,7
53,7842.16,96,25,11
54,6575.03,124,46,10
55,7204.08,95,38,8
56,6691.11,151,39,7
57,7611.02,221,43,2
58,7344.05,67,26,14
59,6022.04,215,69,15
60,5755.09,253,71,12
61,5279.03,307,67,11
62,7393.09,81,11,0
63,5788.16,251,67,11
64,6322.01,119,29,0
65,6266.06,170,48,12
66,5575.08,161,50,9
67,7814.01,126,34,10
68,5326.06,289,118,20
69,6046.02,146,46,10
70,5838.09,259,80,6
71,5553.03,367,137,26
72,6912.01,145,51,8
73,5626.06,334,102,13
74,5905.12,224,71,22
75,6364.07,125,35,10
76,7207.08,143,24,8
77,6055.08,203,61,15
78,6779.04,154,59,12
79,5329.03,129,47,16
80,5065.12,285,57,6
81,5636.11,309,70,16
82,5644.05,240,55,15
83,6459.04,121,52,13
84,6450.05,157,39,7
85,5096.12,287,59,22
86,5914.03,264,64,19
87,5679.08,307,67,16
88,5207.01,297,113,45
89,5523.02,338,142,29
90,6224.05,193,54,12
91,5198.04,342,169,36
92,6659.01,112,43,8
93,8650.11,97,30,4
94,8033.09,97,28,5
95,6004.07,131,51,7
96,6148.02,188,78,10
97,7704.04,159,68,10
98,7667.04,163,33,15
99,5989.02,229,55,12
100,6432.10,118,31,7
101,6830.02,139,35,4
102,5303.08,434,152,14
103,6608.09,151,40,11
104,7311.02,148,50,11
105,6626.11,139,27,3
106,7354.01,144,32,10
107,5997.10,210,76,18
108,8299.03,225,60,6
109,8226.06,161,52,15
110,6809.09,152,41,10
111,7288.04,100,30,8
112,6432.11,119,33,13
113,5470.02,165,34,4
114,7818.17,124,30,2
115,5872.10,241,71,14
116,5342.10,434,111,23
117,5929.01,152,55,7
118,6890.01,137,44,9
119,7976.08,138,16,3
120,6115.06,197,77,18
121,5159.07,326,132,40
122,5955.12,260,78,10
123,5382.06,320,48,5
124,6740.01,152,48,14
125,6762.04,139,37,4
126,5167.06,382,147,6
127,6659.03,119,37,12
128,6483.06,151,39,0
129,5343.11,442,107,19
130,4953.04,162,53,19
131,8029.28,139,29,0
132,5359.10,229,74,15
133,5772.07,163,62,12
134,6884.03,160,57,12
135,5445.07,392,153,19
136,5374.01,498,112,14
137,6569.09,146,42,5
138,7741.01,142,39,4
139,6932.14,109,13,0
140,5105.09,314,61,10
141,5593.01,371,154,41
142,6039.06,174,60,8
143,5626.13,315,68,13
144,6626.01,132,35,4
145,7443.01,96,7,0
146,5659.11,238,50,6
147,6560.14,137,52,10
148,6030.04,248,66,11
149,5712.12,319,82,6
150,6526.05,141,41,9
151,6464.09,135,26,0
152,7154.07,66,18,0
153,6809.07,156,29,6
154,7100.07,86,37,7
155,5359.12,208,68,8
156,6422.08,115,42,5
157,6004.06,135,54,10
158,6584.12,143,19,6
159,7713.01,78,23,0
160,7650.05,118,50,15
161,6896.16,111,27,3
162,6611.02,124,39,7
163,8532.03,72,17,8
164,7981.16,59,17,0
165,7688.12,179,63,5
166,5938.11,223,74,11
167,7141.07,138,47,15
168,5854.09,191,51,16
169,7243.04,80,0,0
170,6765.01,57,27,11
171,8018.04,49,10,7
172,7260.09,150,41,5
173,6379.03,99,37,8
174,6747.07,148,46,7
175,5964.01,192,68,11
176,5105.01,317,45,9
177,5509.02,137,22,3
178,7212.05,93,10,0
179,5335.07,410,150,16
180,6190.08,175,59,13
181,7123.04,90,19,0
182,6064.08,209,56,11
183,7745.07,65,6,0
184,6517.08,142,46,8
185,6816.07,158,55,12
186,5593.04,328,100,16
187,6089.08,154,28,6
188,7340.07,119,59,20
189,6197.02,131,36,11
190,5137.11,290,108,15
191,7646.04,171,42,9
192,6569.08,142,35,2
193,6541.03,130,31,3
194,6389.09,118,44,10
195,5886.13,137,37,13
196,5788.13,269,70,19
197,5626.15,349,82,11
198,6593.15,146,40,7
199,5270.09,387,177,32
200,7388.10,121,46,0
201,5847.01,221,97,28
202,5971.09,174,54,9
203,5515.08,342,105,10
204,6089.11,158,35,4
205,6786.02,156,30,5
206,8123.02,121,29,0
207,7540.02,222,74,21
208,6364.10,130,34,12
209,5492.05,284,55,10
210,6753.08,150,71,23
211,7338.02,161,41,7
212,7680.03,92,41,11
213,7524.16,123,35,6
214,5453.06,314,70,6
215,7456.03,220,105,27
216,5506.10,177,55,8
217,6140.05,195,44,12
218,7920.05,67,16,5
219,6747.06,155,37,7
220,5216.06,258,69,11
221,7407.13,185,104,21
222,4846.01,116,50,18
223,6526.01,154,31,5
224,8458.03,92,15,3
225,7049.04,105,32,9
226,7723.01,164,33,7
227,7648.16,208,93,19
228,6492.04,138,29,0
229,8009.05,123,40,4
230,7701.21,161,28,5
231,5470.12,152,28,0
232,5137.10,301,116,46
233,5703.13,245,54,12
234,5247.10,255,103,9
235,6257.03,183,48,6
236,5755.14,252,71,12
237,7188.10,66,13,0
238,7079.06,164,44,10
239,7886.02,66,31,19
240,6578.01,120,20,0
241,6182.02,197,53,14
242,5238.05,392,82,29
243,7365.13,123,20,0
244,8394.15,117,35,5
245,5847.08,187,82,16
246,6717.06,145,37,11
247,6756.05,102,32,8
248,6955.01,137,41,15
249,5297.02,110,50,13
250,6925.09,112,35,9
251,6948.10,172,53,17
252,7092.06,84,22,6
253,6732.01,119,23,4
254,5065.04,274,76,14
255,6602.05,140,53,6
256,5506.14,239,94,1
257,5755.01,272,71,15
